Image link,Image Name
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/v/e/a/-original-imahfk4xuk7ntphs.jpeg?q=70&crop=false,1
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/r/m/f/-original-imahfk4xz35hxxzp.jpeg?q=70&crop=false,2
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/s/f/-original-imahfk4xrdfazrf3.jpeg?q=70&crop=false,3
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/2/a/o/-original-imahfk4xzyctwvq7.jpeg?q=70&crop=false,4
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/s/f/s/-original-imahfk4xuzvgzgak.jpeg?q=70&crop=false,5
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/x/1/h/-original-imahfk4xbkgpvf7e.jpeg?q=70&crop=false,6
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/u/e/k/-original-imahfk4xgbdsfhqg.jpeg?q=70&crop=false,7
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/4/l/k/-original-imahfk4xnkwy4uhg.jpeg?q=70&crop=false,8
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/l/b/d/-original-imahfk4xge5uhqwt.jpeg?q=70&crop=false,9
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/7/a/t/-original-imahfk4x7czqnh5p.jpeg?q=70&crop=false,10
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/1/v/-original-imahfk4xxxctxqzk.jpeg?q=70&crop=false,11
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/m/b/m/-original-imahfk4xsygkuhsg.jpeg?q=70&crop=false,12
